"Abrangência";"Município";"Qt";"%";
"";"SANTO ANTÔNIO DO IÇÁ";"12.069";"0,008"
"";"SÃO GABRIEL DA CACHOEIRA";"26.814";"0,019"
"";"SÃO PAULO DE OLIVENÇA";"14.764";"0,010"
"";"SÃO SEBASTIÃO DO UATUMÃ";"5.498";"0,004"
"";"SILVES";"6.462";"0,005"
"";"TABATINGA";"28.433";"0,020"
"";"TAPAUÁ";"11.892";"0,008"
"";"TEFÉ";"37.463";"0,026"
"";"TONANTINS";"8.268";"0,006"
"";"UARINI";"6.997";"0,005"
"";"URUCARÁ";"10.823";"0,008"
"";"URUCURITUBA";"11.601";"0,008"
"Subtotal";"";"2.226.891";""
"AP";"AMAPÁ";"5.301";"0,004"
"";"CALÇOENE";"6.777";"0,005"
"";"CUTIAS";"3.358";"0,002"
"";"FERREIRA GOMES";"5.436";"0,004"
"";"ITAUBAL";"4.037";"0,003"
"";"LARANJAL DO JARI";"26.141";"0,018"
"";"MACAPÁ";"268.285";"0,188"
"";"MAZAGÃO";"12.258";"0,009"
"";"OIAPOQUE";"15.979";"0,011"
"";"PEDRA BRANCA DO AMAPARI";"7.746";"0,005"
"";"PORTO GRANDE";"11.534";"0,008"
"";"PRACUÚBA";"2.471";"0,002"
"";"SANTANA";"67.389";"0,047"
"";"SERRA DO NAVIO";"3.079";"0,002"
"";"TARTARUGALZINHO";"7.055";"0,005"
"";"VITÓRIA DO JARI";"8.668";"0,006"
"Subtotal";"";"455.514";""
"BA";"ABAÍRA";"6.743";"0,005"
"";"ABARÉ";"11.807";"0,008"
"";"ACAJUTIBA";"10.803";"0,008"
"";"ADUSTINA";"9.957";"0,007"
"";"ÁGUA FRIA";"11.914";"0,008"
"";"AIQUARA";"4.419";"0,003"
"";"ALAGOINHAS";"106.357";"0,074"
"";"ALCOBAÇA";"17.507";"0,012"
"";"ALMADINA";"5.218";"0,004"
"";"AMARGOSA";"24.722";"0,017"
"";"AMÉLIA RODRIGUES";"17.344";"0,012"
"";"AMÉRICA DOURADA";"12.369";"0,009"
"";"ANAGÉ";"17.742";"0,012"
"";"ANDARAÍ";"10.185";"0,007"
"";"ANDORINHA";"10.357";"0,007"
"";"ANGICAL";"11.705";"0,008"
"";"ANGUERA";"8.833";"0,006"
"";"ANTAS";"10.071";"0,007"
"";"ANTÔNIO CARDOSO";"10.268";"0,007"
"";"ANTÔNIO GONÇALVES";"7.742";"0,005"
"";"APORÁ";"13.393";"0,009"
"";"APUAREMA";"5.579";"0,004"
"";"ARAÇÁS";"10.240";"0,007"
"";"ARACATU";"12.292";"0,009"
"";"ARACI";"38.927";"0,027"
"";"ARAMARI";"8.162";"0,006"
"";"ARATACA";"5.000";"0,004"
"";"ARATUÍPE";"7.641";"0,005"
"";"AURELINO LEAL";"7.761";"0,005"
"";"BAIANÓPOLIS";"10.735";"0,008"
"";"BAIXA GRANDE";"15.512";"0,011"
"";"BANZAÊ";"9.824";"0,007"
"";"BARRA";"34.735";"0,024"
"";"BARRA DA ESTIVA";"17.547";"0,012"
"";"BARRA DO CHOÇA";"25.791";"0,018"
"";"BARRA DO MENDES";"11.674";"0,008"
"";"BARRA DO ROCHA";"3.336";"0,002"
"";"BARREIRAS";"90.044";"0,063"
"";"BARRO ALTO";"9.274";"0,006"
"";"BARRO PRETO";"5.470";"0,004"
"";"BARROCAS";"12.177";"0,009"
"";"BELMONTE";"14.705";"0,010"
"";"BELO CAMPO";"14.279";"0,010"
"";"BIRITINGA";"11.595";"0,008"
"";"BOA NOVA";"13.273";"0,009"
"";"BOA VISTA DO TUPIM";"13.125";"0,009"
"";"BOM JESUS DA LAPA";"44.770";"0,031"
"";"BOM JESUS DA SERRA";"8.643";"0,006"
"";"BONINAL";"9.819";"0,007"
"";"BONITO";"11.234";"0,008"
"";"BOQUIRA";"15.403";"0,011"
"";"BOTUPORÃ";"9.426";"0,007"
"";"BREJÕES";"11.428";"0,008"
"";"BREJOLÂNDIA";"7.604";"0,005"
"";"BROTAS DE MACAÚBAS";"8.746";"0,006"
"";"BRUMADO";"45.632";"0,032"
"";"BUERAREMA";"10.723";"0,008"
"";"BURITIRAMA";"14.840";"0,010"
"";"CAATIBA";"7.639";"0,005"
"";"CABACEIRAS DO PARAGUAÇU";"9.657";"0,007"
"";"CACHOEIRA";"24.155";"0,017"
"";"CACULÉ";"15.882";"0,011"
"";"CAEM";"8.112";"0,006"
"";"CAETANOS";"9.159";"0,006"
"";"CAETITÉ";"37.062";"0,026"
"";"CAFARNAUM";"12.662";"0,009"
"";"CAIRU";"11.855";"0,008"
"";"CALDEIRÃO GRANDE";"8.840";"0,006"
"";"CAMACÃ";"17.700";"0,012"
"";"CAMAÇARI";"151.938";"0,106"
"";"CAMAMU";"24.861";"0,017"
"";"CAMPO ALEGRE DE LOURDES";"22.146";"0,016"
"";"CAMPO FORMOSO";"49.081";"0,034"
"";"CANÁPOLIS";"7.690";"0,005"
"";"CANARANA";"16.529";"0,012"
"";"CANAVIEIRAS";"18.856";"0,013"
"";"CANDEAL";"6.783";"0,005"
"";"CANDEIAS";"59.482";"0,042"
"";"CANDIBA";"10.218";"0,007"
"";"CÂNDIDO SALES";"14.984";"0,010"
"";"CANSANÇÃO";"25.812";"0,018"
"";"CANUDOS";"12.062";"0,008"
"";"CAPELA DO ALTO ALEGRE";"9.078";"0,006"
"";"CAPIM GROSSO";"20.819";"0,015"
"";"CARAÍBAS";"7.962";"0,006"
"";"CARAVELAS";"13.800";"0,010"
"";"CARDEAL DA SILVA";"7.031";"0,005"
"";"CARINHANHA";"20.522";"0,014"
"";"CASA NOVA";"48.969";"0,034"
"";"CASTRO ALVES";"21.985";"0,015"
"";"CATOLÂNDIA";"2.771";"0,002"
"";"CATU";"38.771";"0,027"
"";"CATURAMA";"6.949";"0,005"
"";"CENTRAL";"12.538";"0,009"
"";"CHORROCHÓ";"8.604";"0,006"
"";"CÍCERO DANTAS";"24.134";"0,017"
"";"CIPÓ";"12.912";"0,009"
"";"COARACI";"16.726";"0,012"
"";"COCOS";"11.644";"0,008"
"";"CONCEIÇÃO DA FEIRA";"14.759";"0,010"
"";"CONCEIÇÃO DO ALMEIDA";"14.592";"0,010"
"";"CONCEIÇÃO DO COITÉ";"47.320";"0,033"
"";"CONCEIÇÃO DO JACUÍPE";"21.935";"0,015"
"";"CONDE";"16.437";"0,012"
"";"CONDEÚBA";"14.780";"0,010"
"";"CONTENDAS DO SINCORÁ";"3.545";"0,002"
"";"CORAÇÃO DE MARIA";"20.313";"0,014"
"";"CORDEIROS";"6.443";"0,005"
"";"CORIBE";"10.394";"0,007"
"";"CORONEL JOÃO SÁ";"13.102";"0,009"
"";"CORRENTINA";"25.373";"0,018"
"";"COTEGIPE";"10.538";"0,007"
"";"CRAVOLÂNDIA";"4.214";"0,003"
"";"CRISÓPOLIS";"16.317";"0,011"
"";"CRISTÓPOLIS";"11.284";"0,008"
"";"CRUZ DAS ALMAS";"41.940";"0,029"
"";"CURAÇÁ";"24.066";"0,017"
"";"DÁRIO MEIRA";"9.000";"0,006"
"";"DIAS D'ÁVILA";"43.936";"0,031"
"";"DOM BASÍLIO";"9.423";"0,007"
"";"DOM MACEDO COSTA";"3.256";"0,002"
"";"ELÍSIO MEDRADO";"7.499";"0,005"
"";"ENCRUZILHADA";"12.186";"0,009"
"";"ENTRE RIOS";"30.021";"0,021"
"";"ÉRICO CARDOSO";"9.047";"0,006"
"";"ESPLANADA";"23.130";"0,016"
"";"EUCLIDES DA CUNHA";"40.632";"0,028"
"";"EUNÁPOLIS";"74.087";"0,052"
"";"FÁTIMA";"14.549";"0,010"
"";"FEIRA DA MATA";"4.716";"0,003"
"";"FEIRA DE SANTANA";"387.768";"0,272"
"";"FILADÉLFIA";"13.563";"0,009"
"";"FIRMINO ALVES";"4.356";"0,003"
"";"FLORESTA AZUL";"7.346";"0,005"
"";"FORMOSA DO RIO PRETO";"16.703";"0,012"
"";"GANDU";"20.153";"0,014"
"";"GAVIÃO";"4.067";"0,003"
"";"GENTIO DO OURO";"8.629";"0,006"
"";"GLÓRIA";"12.270";"0,009"
"";"GONGOGI";"4.328";"0,003"
"";"GOVERNADOR MANGABEIRA";"13.340";"0,009"
"";"GUAJERU";"7.455";"0,005"
"";"GUANAMBI";"57.711";"0,040"
"";"GUARATINGA";"15.095";"0,011"
"";"HELIÓPOLIS";"11.264";"0,008"
"";"IAÇU";"21.028";"0,015"
"";"IBIASSUCÊ";"8.616";"0,006"
"";"IBICARAÍ";"18.240";"0,013"
"";"IBICOARA";"12.426";"0,009"
"";"IBICUÍ";"11.039";"0,008"
"";"IBIPEBA";"12.748";"0,009"
"";"IBIPITANGA";"11.622";"0,008"
"";"IBIQUERA";"3.291";"0,002"
"";"IBIRAPITANGA";"13.609";"0,010"
"";"IBIRAPUÃ";"6.120";"0,004"
"";"IBIRATAIA";"12.601";"0,009"
"";"IBITIARA";"11.164";"0,008"
"";"IBITITÁ";"13.980";"0,010"
"";"IBOTIRAMA";"18.000";"0,013"
"";"ICHU";"4.866";"0,003"
"";"IGAPORÃ";"10.819";"0,008"
"";"IGRAPIÚNA";"9.862";"0,007"
"";"IGUAÍ";"19.649";"0,014"
"";"ILHÉUS";"133.554";"0,094"
"";"INHAMBUPE";"24.995";"0,018"
"";"IPECAETÁ";"12.685";"0,009"
"";"IPIAÚ";"25.718";"0,018"
"";"IPIRÁ";"43.534";"0,030"
"";"IPUPIARA";"7.315";"0,005"
"";"IRAJUBA";"5.297";"0,004"
"";"IRAMAIA";"9.039";"0,006"
"";"IRAQUARA";"15.503";"0,011"
"";"IRARÁ";"22.234";"0,016"
"";"IRECÊ";"44.348";"0,031"
"";"ITABELA";"22.511";"0,016"
"";"ITABERABA";"40.217";"0,028"
"";"ITABUNA";"149.012";"0,104"
"";"ITACARÉ";"13.473";"0,009"
"";"ITAETÉ";"10.118";"0,007"
"";"ITAGI";"10.496";"0,007"
"";"ITAGIBÁ";"12.064";"0,008"
"";"ITAGIMIRIM";"5.785";"0,004"
"";"ITAGUAÇU DA BAHIA";"9.392";"0,007"
